"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
2.0,0.0,0.0,1.5,40.0,3.0,0.0,2.0,-1.0
0.0,0.0,0.0,1.0,70.0,2.0,0.0,2.0,1.0
1.0,1.0,0.0,1.5,42.0,1.0,0.0,2.0,-1.0
6.0,1.0,0.0,4.0,24.0,1.0,0.0,3.0,-1.0
4.0,0.0,0.0,1.5,24.0,2.0,0.0,2.0,1.0
9.0,1.0,1.0,1.5,51.0,1.0,3.0,1.0,-1.0
5.0,1.0,1.0,1.5,27.0,4.0,0.0,1.0,-1.0
2.0,0.0,0.0,1.5,61.0,3.0,0.0,3.0,-1.0
3.0,0.0,0.0,1.5,46.0,1.0,1.0,3.0,1.0
0.0,0.0,0.0,1.5,53.0,2.0,0.0,3.0,-1.0
6.0,0.0,0.0,1.5,21.0,0.0,2.0,3.0,1.0
2.0,1.0,0.0,1.5,61.0,1.0,1.0,2.0,-1.0
6.0,0.0,0.0,1.5,24.0,4.0,0.0,2.0,1.0
4.0,0.0,0.0,1.0,50.0,1.0,0.0,2.0,-1.0
4.0,0.0,0.0,1.0,22.0,1.0,0.0,2.0,1.0
3.0,1.0,0.0,1.5,26.0,1.0,0.0,2.0,-1.0
8.0,0.0,1.0,4.0,18.0,2.0,0.0,1.0,1.0
10.0,1.0,1.0,1.5,47.0,0.0,3.0,1.0,-1.0
4.0,1.0,1.0,1.5,65.0,2.0,1.0,2.0,-1.0
0.0,0.0,0.0,1.0,54.0,0.0,0.0,2.0,-1.0
12.0,1.0,0.0,1.5,32.0,0.0,2.0,1.0,-1.0
0.0,0.0,0.0,1.0,42.0,0.0,2.0,2.0,1.0
6.0,0.0,0.0,1.0,22.0,3.0,0.0,2.0,1.0
6.0,0.0,0.0,1.5,27.0,1.0,0.0,3.0,1.0
24.0,0.0,1.0,4.0,30.0,0.0,4.0,1.0,1.0
4.0,0.0,0.0,4.0,30.0,1.0,0.0,1.0,1.0
8.0,1.0,0.0,1.0,14.0,1.0,2.0,1.0,-1.0
6.0,1.0,0.0,1.5,64.0,4.0,0.0,1.0,-1.0
10.0,0.0,0.0,1.5,41.0,1.0,2.0,3.0,-1.0
6.0,0.0,0.0,1.5,20.0,1.0,2.0,2.0,1.0
0.0,0.0,0.0,1.5,37.0,2.0,0.0,3.0,-1.0
3.0,1.0,1.0,1.5,67.0,1.0,3.0,1.0,-1.0
18.0,1.0,1.0,1.0,22.0,1.0,2.0,1.0,-1.0
0.0,0.0,0.0,1.5,35.0,3.0,0.0,2.0,1.0
6.0,0.0,0.0,1.5,32.0,1.0,0.0,2.0,1.0
0.0,0.0,0.0,4.0,28.0,0.0,0.0,4.0,-1.0
1.0,0.0,0.0,4.0,44.0,1.0,0.0,4.0,-1.0
5.0,1.0,0.0,1.5,58.0,0.0,1.0,2.0,-1.0
0.0,0.0,0.0,1.5,16.0,2.0,0.0,2.0,1.0
0.0,0.0,0.0,1.5,29.0,1.0,0.0,3.0,1.0
11.0,0.0,0.0,1.5,17.0,0.0,2.0,3.0,-1.0
6.0,0.0,0.0,1.5,18.0,2.0,0.0,3.0,-1.0
2.0,1.0,0.0,1.5,60.0,3.0,0.0,1.0,-1.0
0.0,0.0,0.0,1.0,54.0,1.0,0.0,2.0,-1.0
4.0,0.0,0.0,1.5,32.0,2.0,2.0,2.0,1.0
3.0,0.0,0.0,1.5,48.0,3.0,0.0,2.0,-1.0
0.0,0.0,0.0,1.0,34.0,0.0,2.0,2.0,1.0
10.0,1.0,1.0,1.0,42.0,2.0,2.0,1.0,-1.0
0.0,0.0,0.0,4.0,30.0,0.0,0.0,1.0,1.0
6.0,1.0,0.0,1.5,64.0,2.0,2.0,1.0,-1.0
2.0,0.0,0.0,1.0,54.0,1.0,0.0,2.0,-1.0
0.0,0.0,0.0,1.0,34.0,0.0,0.0,2.0,1.0
21.0,1.0,1.0,1.5,31.0,0.0,3.0,1.0,-1.0
6.0,1.0,0.0,1.5,26.0,1.0,0.0,2.0,-1.0
10.0,0.0,0.0,1.0,18.0,0.0,2.0,2.0,1.0
