"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
-0.9285714285714286,-1,-1,-0.6666666666666667,-0.13043478260869568,-0.6666666666666667,-1,-0.33333333333333337,1
0.7142857142857142,-1,-1,1,-0.42028985507246375,-1,1,-1,1
-0.6428571428571428,-1,-1,-0.6666666666666667,0.01449275362318847,-0.6666666666666667,0,0.33333333333333326,1
-0.8571428571428572,-1,-1,-1,-0.536231884057971,-0.6666666666666667,-1,-0.33333333333333337,-1
-0.8571428571428572,-0.33333333333333337,-1,-1,-0.07246376811594202,-1,0,-1,-1
-0.7142857142857143,-1,-1,1,0.1594202898550725,-1,1,-1,1
-1,-1,-1,-0.6666666666666667,0.9420289855072463,0,-1,0.33333333333333326,1
-0.7142857142857143,-1,-1,-0.6666666666666667,-0.04347826086956519,0,-1,-0.33333333333333337,1
-0.8571428571428572,-1,-1,-0.6666666666666667,-0.21739130434782605,-1,0,0.33333333333333326,1
-0.2857142857142857,-0.33333333333333337,0,-0.6666666666666667,-0.2753623188405797,-0.6666666666666667,-0.5,-0.33333333333333337,-1
-0.5,-0.33333333333333337,0,-0.6666666666666667,-0.5072463768115942,-0.33333333333333337,-1,-1,-1
-0.9285714285714286,-0.33333333333333337,0,-0.6666666666666667,0.8840579710144927,-0.33333333333333337,-1,-1,-1
-0.2857142857142857,-0.33333333333333337,0,-0.6666666666666667,-0.2753623188405797,-1,0.5,-1,-1
-1,-1,-1,1,0.7391304347826086,-0.33333333333333337,-1,-1,1
-0.6428571428571428,-1,-1,-0.6666666666666667,-0.3913043478260869,-0.33333333333333337,-0.5,0.33333333333333326,1
-0.8571428571428572,-1,-1,-0.6666666666666667,-0.01449275362318836,0,-1,-0.33333333333333337,-1
-1,-1,-1,-1,0.855072463768116,-0.33333333333333337,-1,-0.33333333333333337,1
-0.9285714285714286,-0.33333333333333337,-1,-0.6666666666666667,0.04347826086956519,-0.6666666666666667,-1,-0.33333333333333337,-1
